Date/Time	Stress Level	temp	feels_like	temp_min	temp_max	pressure	humidity	wind_speed	rain_1h	clouds_all	weather_main	Walking Speed (km/hr)	Environmental Audio Exposure (dBASPL)	Blood Oxygen Saturation (%)
2022-01-31 21:37:00+00:00	Low	4.57	-0.11	3.82	5.57	1021	80	7.2	0.0	20	1	5.87	69.73	97.0
2022-01-31 21:50:00+00:00	Low	4.57	-0.11	3.82	5.57	1021	80	7.2	0.0	20	1	4.61	82.23	97.0
2022-01-31 21:55:00+00:00	Low	4.57	-0.11	3.82	5.57	1021	80	7.2	0.0	20	1	4.97	82.23	97.0
2022-01-31 22:07:00+00:00	Low	4.57	-0.11	3.82	5.57	1021	80	7.2	0.0	20	1	4.61	69.73	97.0
2022-01-31 23:49:00+00:00	Low	4.68	0.42	3.81	5.57	1021	78	6.17	0.0	20	1	4.57	86.91	97.0
2022-02-01 13:02:00+00:00	Low	9.02	4.64	8.27	9.45	1011	91	11.32	0.76	75	5	5.04	69.73	97.0
2022-02-01 13:10:00+00:00	Low	9.02	4.64	8.27	9.45	1011	91	11.32	0.76	75	5	4.28	69.73	97.0
2022-02-01 13:31:00+00:00	Low	9.25	5.16	8.82	9.45	1011	89	10.29	1.27	75	5	5.18	69.73	97.0
2022-02-01 13:33:00+00:00	Low	9.25	5.16	8.82	9.45	1011	89	10.29	1.27	75	5	5.87	69.73	97.0
2022-02-01 16:21:00+00:00	Low	9.61	5.43	8.83	9.97	1011	81	11.32	2.03	0	5	0.0	68.42	100.0
2022-02-01 20:41:00+00:00	Low	9.19	5.31	8.82	9.97	1014	79	9.26	0.51	0	5	5.54	69.73	97.0
2022-02-01 22:20:00+00:00	Low	8.96	5.0	8.27	9.41	1014	80	9.26	0.51	20	5	5.69	69.73	97.0
2022-02-01 22:27:00+00:00	Low	8.96	5.0	8.27	9.41	1014	80	9.26	0.51	20	5	5.69	60.24	97.0
2022-02-01 22:51:00+00:00	Low	8.33	4.44	7.71	8.87	1015	81	8.23	0.25	20	5	4.46	69.73	97.0
2022-02-01 22:56:00+00:00	Low	8.33	4.44	7.71	8.87	1015	81	8.23	0.25	20	5	4.46	63.11	97.0
2022-02-01 23:29:00+00:00	Low	8.33	4.44	7.71	8.87	1015	81	8.23	0.25	20	5	0.0	55.56	95.0
2022-02-02 00:31:00+00:00	Low	8.09	3.86	7.7	8.34	1015	82	9.26	0.0	0	0	3.64	62.2	97.0
2022-02-02 00:34:00+00:00	Low	8.09	3.86	7.7	8.34	1015	82	9.26	0.0	0	0	3.85	62.2	97.0
2022-02-02 01:15:00+00:00	Low	8.09	3.86	7.7	8.34	1015	82	9.26	0.0	0	0	5.15	69.73	97.0
2022-02-02 01:19:00+00:00	Low	8.09	3.86	7.7	8.34	1015	82	9.26	0.0	0	0	5.04	69.73	97.0
2022-02-02 01:20:00+00:00	Medium	8.09	3.86	7.7	8.34	1015	82	9.26	0.0	0	0	5.04	69.73	97.0
2022-02-02 01:43:00+00:00	Low	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	5.44	69.73	97.0
2022-02-02 01:48:00+00:00	Low	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	5.51	69.73	97.0
2022-02-02 01:49:00+00:00	Medium	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	5.51	69.73	97.0
2022-02-02 01:58:00+00:00	Low	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	4.36	69.73	97.0
2022-02-02 02:05:00+00:00	Low	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	5.33	69.73	95.0
2022-02-02 02:06:00+00:00	Low	8.15	4.07	7.71	8.34	1015	81	8.75	0.25	0	5	5.62	69.73	95.0
2022-02-15 14:01:00+00:00	Low	8.6	4.18	7.72	8.97	1007	78	10.8	3.3	75	5	0.0	71.4	99.0
2022-02-15 14:07:00+00:00	Low	8.6	4.18	7.72	8.97	1007	78	10.8	3.3	75	5	5.72	69.73	99.0
2022-02-15 14:10:00+00:00	Low	8.6	4.18	7.72	8.97	1007	78	10.8	3.3	75	5	5.72	69.73	97.0
2022-02-15 14:13:00+00:00	High	8.6	4.18	7.72	8.97	1007	78	10.8	3.3	75	5	5.72	69.73	97.0
2022-02-15 14:14:00+00:00	Low	8.6	4.18	7.72	8.97	1007	78	10.8	3.3	75	5	5.0	69.73	97.0
2022-02-15 14:46:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	5.44	69.73	97.0
2022-02-15 14:50:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	5.47	69.73	97.0
2022-02-15 14:51:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	5.76	69.73	97.0
2022-02-15 14:55:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	5.54	62.14	97.0
2022-02-15 15:20:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	4.93	69.73	97.0
2022-02-15 15:28:00+00:00	Low	8.08	3.5	7.16	8.34	1006	85	10.73	1.23	75	5	4.93	60.02	97.0
2022-02-15 17:05:00+00:00	Low	7.74	2.92	6.61	8.34	1004	92	11.32	6.44	75	5	4.14	69.73	97.0
2022-02-15 17:12:00+00:00	Low	7.74	2.92	6.61	8.34	1004	92	11.32	6.44	75	5	4.68	69.73	97.0
2022-02-15 17:39:00+00:00	Low	7.76	2.95	7.16	8.34	1004	93	11.32	4.06	75	5	4.82	69.73	97.0
2022-02-15 17:44:00+00:00	Low	7.76	2.95	7.16	8.34	1004	93	11.32	4.06	75	5	4.32	69.73	97.0
2022-02-15 18:36:00+00:00	Low	7.78	3.33	7.71	8.34	1004	94	9.77	1.1	75	5	5.54	69.73	97.0
2022-02-15 19:00:00+00:00	Low	7.78	3.33	7.71	8.34	1004	94	9.77	1.1	75	5	5.15	74.5	97.0
2022-02-15 19:08:00+00:00	Low	7.78	3.33	7.71	8.34	1004	94	9.77	1.1	75	5	5.51	69.73	97.0
2022-02-15 19:10:00+00:00	Low	7.78	3.33	7.71	8.34	1004	94	9.77	1.1	75	5	5.69	69.73	97.0
2022-02-15 20:01:00+00:00	Low	8.24	4.32	7.72	8.97	1003	95	8.23	1.17	75	5	0.0	66.71	96.0
2022-02-15 20:33:00+00:00	Low	8.11	4.15	7.71	8.34	1003	94	8.23	0.38	40	5	5.8	72.32	97.0
2022-02-15 20:34:00+00:00	Low	8.11	4.15	7.71	8.34	1003	94	8.23	0.38	40	5	5.8	69.73	97.0
2022-02-15 20:54:00+00:00	Low	8.11	4.15	7.71	8.34	1003	94	8.23	0.38	40	5	4.97	81.44	97.0
2022-02-15 21:16:00+00:00	Low	8.11	4.15	7.71	8.34	1003	94	8.23	0.38	40	5	5.22	69.73	96.0
2022-02-15 21:20:00+00:00	Low	8.11	4.15	7.71	8.34	1003	94	8.23	0.38	40	5	5.22	69.73	97.0
2022-02-15 22:22:00+00:00	Low	8.1	4.28	7.18	8.31	1003	94	7.72	0.43	40	5	4.5	81.52	97.0
2022-02-16 00:38:00+00:00	Low	8.38	5.31	7.72	8.97	1001	95	5.66	0.51	75	2	4.93	69.73	97.0
2022-02-18 08:18:00+00:00	Low	7.67	3.18	7.16	8.34	997	94	9.77	2.29	75	5	4.61	69.73	97.0
2022-02-19 13:58:00+00:00	Low	7.58	2.94	7.16	8.27	1011	67	10.29	5.08	20	5	5.08	69.73	97.0
2022-02-19 14:05:00+00:00	Low	7.58	2.94	7.16	8.27	1011	67	10.29	5.08	20	5	5.08	66.98	97.0
2022-02-19 15:12:00+00:00	Low	7.5	2.83	6.61	8.28	1010	69	10.29	1.4	75	5	5.29	69.73	97.0
