date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-30,6.4,4.5,7.7,0,,287,22.8,54,1027.2,
2022-01-31,5.9,4.3,7,7.1,,300,44.7,94.5,1012.4,
2022-02-01,7.4,3.7,9.5,,,272,30.6,65,1015.3,
2022-02-02,8.5,7.1,10,0.8,,274,22.1,50,1018.7,
2022-02-03,7.6,5.7,9,1.1,,220,21.3,40,1014.5,
2022-02-04,6.8,4,9,7.4,,241,29.4,65,1008.2,
2022-02-05,6.5,4.5,8.1,4.3,,249,35.7,79,1015.7,
2022-02-06,7.6,4.7,9.2,12.2,,257,43.8,90,1002.1,
2022-02-07,6.2,4,7.7,,,276,29.7,83,1020.4,
2022-02-08,10,8.2,11.2,0,,237,31.8,58,1024.8,
2022-02-09,9.1,8.2,10.4,0,,228,23.3,50,1023.5,
2022-02-10,6.8,5.2,8.5,,,267,15.2,33.3,1020,
2022-02-11,4.7,-0.2,7.7,1.6,,304,21.6,68,1028.4,
2022-02-12,2.6,-1.7,7.2,0,,177,20.3,43,1026.1,
2022-02-13,5.1,-0.2,9.7,,,174,25.5,54,1008.6,
2022-02-14,9.2,6.2,11.5,,,211,32,65,998.3,
2022-02-15,7.3,5.2,8.6,10.7,,229,26.9,65,1006.3,
2022-02-16,10.5,8,12.2,,,226,39.3,94,994.2,
2022-02-17,8.8,7.2,10.7,0,,259,44.1,90,1002.1,
2022-02-18,8.3,6.7,10.7,1.2,,220,46.7,119,996.7,
2022-02-19,6.2,4,8,13.1,,245,42.9,94,1006.9,
2022-02-20,8,4.2,11.1,18.3,,236,44.1,104,1001.6,
2022-02-21,6.5,4.7,7.7,5.4,,282,47.9,86,1000,
2022-02-22,7,3.2,10.7,,,255,26,76,1015.6,
2022-02-23,7.6,3.5,10.7,,,229,24.6,47,1021.6,
2022-02-24,6.4,2.7,9,6,,229,29,79,1009.6,
2022-02-25,5.5,2.2,7.5,2.2,,281,26.7,54,1021,
2022-02-26,3.5,-1.2,9,0,,157,10.4,29,1033.6,
2022-02-27,4.8,1,9.2,,,122,20.7,47,1030.9,
2022-02-28,4.6,0.2,10,,,146,18.5,36,1029.1,
2022-03-01,4.6,2.2,6.2,1.4,,115,7.8,20.4,1027.7,
2022-03-02,6.6,3.2,10.6,,,65,12.3,27.8,1024.2,
2022-03-03,5.5,-0.4,12,,,94,14.6,36,1019.2,
2022-03-04,5.2,1,11.1,0,,107,15.6,29,1020.6,
2022-03-05,2.4,-2.7,6.5,0,,65,11.7,29.6,1021.8,
