Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-01-31 21:23:46,76.57,Mithat Can’s Apple Watch
2022-01-31 21:53:41,82.23,Mithat Can’s Apple Watch
2022-01-31 22:23:36,79.55,Mithat Can’s Apple Watch
2022-01-31 22:53:31,75.63,Mithat Can’s Apple Watch
2022-01-31 23:23:26,75.57,Mithat Can’s Apple Watch
2022-01-31 23:53:26,86.91,Mithat Can’s Apple Watch
2022-02-01 00:23:26,66.5,Mithat Can’s Apple Watch
2022-02-01 11:20:14,68.73,Mithat Can’s Apple Watch
2022-02-01 11:50:09,64.79,Mithat Can’s Apple Watch
2022-02-01 12:20:04,81.73,Mithat Can’s Apple Watch
2022-02-01 12:49:59,75.62,Mithat Can’s Apple Watch
2022-02-01 13:19:59,66.93,Mithat Can’s Apple Watch
2022-02-01 13:49:59,57.95,Mithat Can’s Apple Watch
2022-02-01 14:19:54,62.14,Mithat Can’s Apple Watch
2022-02-01 14:49:49,71.38,Mithat Can’s Apple Watch
2022-02-01 15:19:44,67.17,Mithat Can’s Apple Watch
2022-02-01 15:49:39,61.75,Mithat Can’s Apple Watch
2022-02-01 16:19:39,68.42,Mithat Can’s Apple Watch
2022-02-01 17:15:25,68.65,Mithat Can’s Apple Watch
2022-02-01 17:45:20,81.62,Mithat Can’s Apple Watch
2022-02-01 18:15:15,75.37,Mithat Can’s Apple Watch
2022-02-01 18:45:15,64.09,Mithat Can’s Apple Watch
2022-02-01 20:30:24,74,Mithat Can’s Apple Watch
2022-02-01 21:00:19,68.98,Mithat Can’s Apple Watch
2022-02-01 21:30:14,76.18,Mithat Can’s Apple Watch
2022-02-01 22:00:14,75.49,Mithat Can’s Apple Watch
2022-02-01 22:30:14,60.24,Mithat Can’s Apple Watch
2022-02-01 23:00:14,63.11,Mithat Can’s Apple Watch
2022-02-01 23:30:14,55.56,Mithat Can’s Apple Watch
2022-02-02 00:00:14,60.55,Mithat Can’s Apple Watch
2022-02-02 00:30:14,62.2,Mithat Can’s Apple Watch
2022-02-02 01:00:14,70.62,Mithat Can’s Apple Watch
2022-02-02 01:30:09,63.21,Mithat Can’s Apple Watch
2022-02-15 13:59:24,71.4,Mithat Can’s Apple Watch
2022-02-15 14:29:24,79.55,Mithat Can’s Apple Watch
2022-02-15 14:59:19,62.14,Mithat Can’s Apple Watch
2022-02-15 15:29:14,60.02,Mithat Can’s Apple Watch
2022-02-15 15:59:14,51.48,Mithat Can’s Apple Watch
2022-02-15 16:29:14,54.85,Mithat Can’s Apple Watch
2022-02-15 16:59:14,77.69,Mithat Can’s Apple Watch
2022-02-15 17:29:09,73.68,Mithat Can’s Apple Watch
2022-02-15 17:59:04,76.27,Mithat Can’s Apple Watch
2022-02-15 18:28:59,73.14,Mithat Can’s Apple Watch
2022-02-15 18:58:54,74.5,Mithat Can’s Apple Watch
2022-02-15 19:28:49,66.65,Mithat Can’s Apple Watch
2022-02-15 19:58:44,66.71,Mithat Can’s Apple Watch
2022-02-15 20:28:44,72.32,Mithat Can’s Apple Watch
2022-02-15 20:58:39,81.44,Mithat Can’s Apple Watch
2022-02-15 21:28:34,87.6,Mithat Can’s Apple Watch
2022-02-15 21:46:39,78.9,Mithat Can’s Apple Watch
2022-02-15 22:16:34,87.81,Mithat Can’s Apple Watch
2022-02-15 22:24:14,81.52,Mithat Can’s Apple Watch
2022-02-15 22:54:09,78.76,Mithat Can’s Apple Watch
2022-02-15 23:24:09,78.89,Mithat Can’s Apple Watch
2022-02-15 23:54:09,73.03,Mithat Can’s Apple Watch
2022-02-16 00:24:09,87.03,Mithat Can’s Apple Watch
2022-02-16 00:48:14,82.94,Mithat Can’s Apple Watch
2022-02-16 01:18:09,55.65,Mithat Can’s Apple Watch
2022-02-16 01:48:04,64.33,Mithat Can’s Apple Watch
2022-02-18 06:55:24,63.01,Mithat Can’s Apple Watch
2022-02-18 07:25:24,68.49,Mithat Can’s Apple Watch
2022-02-18 07:55:19,71.1,Mithat Can’s Apple Watch
2022-02-18 08:25:14,61.66,Mithat Can’s Apple Watch
2022-02-19 13:03:54,73.76,Mithat Can’s Apple Watch
2022-02-19 13:33:49,79.45,Mithat Can’s Apple Watch
2022-02-19 14:03:44,66.98,Mithat Can’s Apple Watch
2022-02-19 14:33:39,77.8,Mithat Can’s Apple Watch
2022-02-19 15:03:34,72.31,Mithat Can’s Apple Watch
2022-02-19 15:33:29,64.6,Mithat Can’s Apple Watch
2022-02-19 16:03:29,66.09,Mithat Can’s Apple Watch
2022-02-19 16:33:24,62.07,Mithat Can’s Apple Watch
2022-02-19 17:03:24,65.49,Mithat Can’s Apple Watch
2022-02-19 17:33:19,59.87,Mithat Can’s Apple Watch
2022-02-19 18:03:19,60,Mithat Can’s Apple Watch
2022-02-19 18:33:19,57.42,Mithat Can’s Apple Watch
2022-02-19 19:03:19,71.99,Mithat Can’s Apple Watch
2022-02-19 19:33:19,69.9,Mithat Can’s Apple Watch
2022-02-19 20:03:14,64.81,Mithat Can’s Apple Watch
2022-02-19 20:33:09,68.48,Mithat Can’s Apple Watch
2022-02-19 21:03:09,86.88,Mithat Can’s Apple Watch
2022-02-19 21:33:04,85.25,Mithat Can’s Apple Watch
2022-02-19 22:02:59,75.72,Mithat Can’s Apple Watch
2022-02-19 22:32:59,73.48,Mithat Can’s Apple Watch
2022-02-19 23:02:54,74.66,Mithat Can’s Apple Watch
2022-02-19 23:32:49,77.06,Mithat Can’s Apple Watch
2022-02-20 00:02:44,74.6,Mithat Can’s Apple Watch
2022-02-20 00:32:44,84.28,Mithat Can’s Apple Watch
2022-02-20 01:02:39,85.9,Mithat Can’s Apple Watch
2022-02-20 01:32:34,67.09,Mithat Can’s Apple Watch
2022-02-20 02:02:29,41.18,Mithat Can’s Apple Watch
2022-02-20 02:32:29,68.35,Mithat Can’s Apple Watch
2022-02-21 16:55:08,49.38,Mithat Can’s Apple Watch
2022-02-21 17:25:03,63.56,Mithat Can’s Apple Watch
2022-02-21 17:55:03,71.38,Mithat Can’s Apple Watch
2022-02-21 18:25:03,75.45,Mithat Can’s Apple Watch
2022-02-21 18:55:03,54.51,Mithat Can’s Apple Watch
2022-02-21 19:24:58,43.22,Mithat Can’s Apple Watch
2022-02-21 19:54:53,66.39,Mithat Can’s Apple Watch
2022-02-21 20:24:53,76.16,Mithat Can’s Apple Watch
2022-02-21 20:54:48,75.37,Mithat Can’s Apple Watch
2022-02-21 21:24:43,74.3,Mithat Can’s Apple Watch
2022-02-21 21:54:38,74.46,Mithat Can’s Apple Watch
2022-02-21 22:24:33,72.69,Mithat Can’s Apple Watch
2022-02-21 22:54:33,44.15,Mithat Can’s Apple Watch
2022-02-21 23:24:33,64.79,Mithat Can’s Apple Watch
2022-02-21 23:54:33,67.85,Mithat Can’s Apple Watch
2022-02-22 00:24:33,64.13,Mithat Can’s Apple Watch
2022-02-22 00:54:30,62.1,Mithat Can’s Apple Watch
2022-02-22 01:24:25,56.26,Mithat Can’s Apple Watch
2022-02-22 01:54:20,49.32,Mithat Can’s Apple Watch
2022-02-22 15:37:24,50.44,Mithat Can’s Apple Watch
2022-02-22 16:07:19,46.9,Mithat Can’s Apple Watch
2022-02-22 16:37:19,73.37,Mithat Can’s Apple Watch
2022-02-22 17:07:19,69.39,Mithat Can’s Apple Watch
2022-02-22 17:37:14,77.43,Mithat Can’s Apple Watch
2022-02-22 18:07:09,57.31,Mithat Can’s Apple Watch
2022-02-23 16:58:25,77.72,Mithat Can’s Apple Watch
2022-02-23 17:28:25,79.62,Mithat Can’s Apple Watch
2022-02-23 17:58:20,72.94,Mithat Can’s Apple Watch
2022-02-23 18:28:20,70.51,Mithat Can’s Apple Watch
2022-02-23 18:58:15,68.85,Mithat Can’s Apple Watch
2022-02-23 19:28:10,80.73,Mithat Can’s Apple Watch
