Date/Time,Heart Rate Variability (ms),Source
2022-01-31 23:35:56,51.44,Mithat Can’s Apple Watch
2022-02-01 12:11:40,42.53,Mithat Can’s Apple Watch
2022-02-01 14:32:55,42.4,Mithat Can’s Apple Watch
2022-02-01 20:59:13,23.62,Mithat Can’s Apple Watch
2022-02-01 22:34:37,21.19,Mithat Can’s Apple Watch
2022-02-15 14:03:24,53.43,Mithat Can’s Apple Watch
2022-02-15 18:18:30,54.33,Mithat Can’s Apple Watch
2022-02-15 23:18:21,43.02,Mithat Can’s Apple Watch
2022-02-16 01:26:35,32.12,Mithat Can’s Apple Watch
2022-02-18 06:58:24,36.2,Mithat Can’s Apple Watch
2022-02-18 07:51:31,31.61,Mithat Can’s Apple Watch
2022-02-19 14:14:56,45.13,Mithat Can’s Apple Watch
2022-02-19 15:58:06,52.17,Mithat Can’s Apple Watch
2022-02-19 20:22:09,31.63,Mithat Can’s Apple Watch
2022-02-19 23:29:13,59.74,Mithat Can’s Apple Watch
2022-02-21 17:05:42,42.89,Mithat Can’s Apple Watch
2022-02-21 20:59:55,48.05,Mithat Can’s Apple Watch
2022-02-22 00:16:31,33.26,Mithat Can’s Apple Watch
2022-02-22 15:39:44,22.47,Mithat Can’s Apple Watch
2022-02-22 15:50:14,22.19,Mithat Can’s Apple Watch
2022-02-23 18:56:00,44.81,Mithat Can’s Apple Watch
2022-02-23 20:03:11,27.98,Mithat Can’s Apple Watch
2022-02-24 00:35:58,42.47,Mithat Can’s Apple Watch
2022-02-24 19:48:32,43.98,Mithat Can’s Apple Watch
2022-02-25 02:51:04,24.79,Mithat Can’s Apple Watch
2022-02-25 11:07:02,42.96,Mithat Can’s Apple Watch
2022-02-25 14:30:05,45.07,Mithat Can’s Apple Watch
2022-02-25 18:37:55,47.79,Mithat Can’s Apple Watch
2022-02-25 22:26:10,91.95,Mithat Can’s Apple Watch
2022-02-28 14:54:25,7.65,Mithat Can’s Apple Watch
2022-02-28 17:26:40,48.25,Mithat Can’s Apple Watch
2022-03-01 15:47:04,32.22,Mithat Can’s Apple Watch
2022-03-01 16:18:47,31.1,Mithat Can’s Apple Watch
2022-03-01 20:20:27,44.95,Mithat Can’s Apple Watch
2022-03-02 21:13:59,16.38,Mithat Can’s Apple Watch
2022-03-04 13:08:49,18.77,Mithat Can’s Apple Watch
2022-03-04 16:19:55,35.56,Mithat Can’s Apple Watch
2022-03-04 20:24:15,27.38,Mithat Can’s Apple Watch
2022-03-05 00:21:13,40.45,Mithat Can’s Apple Watch
2022-03-06 02:32:02,31.97,Mithat Can’s Apple Watch
2022-03-06 04:22:52,53.34,Mithat Can’s Apple Watch
2022-03-07 22:25:28,50.53,Mithat Can’s Apple Watch
2022-03-08 10:55:10,33.22,Mithat Can’s Apple Watch
2022-03-08 14:03:47,32.49,Mithat Can’s Apple Watch
2022-03-08 17:46:50,47.45,Mithat Can’s Apple Watch
2022-03-13 03:22:58,32.52,Mithat Can’s Apple Watch
2022-03-13 03:38:51,25.65,Mithat Can’s Apple Watch
2022-03-13 14:05:23,40.62,Mithat Can’s Apple Watch
2022-03-13 22:53:28,41.72,Mithat Can’s Apple Watch
2022-03-14 16:49:01,61.79,Mithat Can’s Apple Watch
2022-03-15 20:43:04,43.25,Mithat Can’s Apple Watch
2022-03-15 20:50:09,37.7,Mithat Can’s Apple Watch
2022-03-18 13:38:56,34.13,Mithat Can’s Apple Watch
2022-03-18 16:34:46,30.81,Mithat Can’s Apple Watch
2022-03-18 21:03:13,36.08,Mithat Can’s Apple Watch
2022-03-19 00:39:56,42.29,Mithat Can’s Apple Watch
2022-03-22 15:34:27,45.68,Mithat Can’s Apple Watch
2022-03-22 19:41:17,36.16,Mithat Can’s Apple Watch
2022-03-22 22:46:36,22.3,Mithat Can’s Apple Watch
2022-03-23 17:02:10,52.66,Mithat Can’s Apple Watch
2022-03-23 18:54:54,80.69,Mithat Can’s Apple Watch
2022-03-24 09:41:25,29.65,Mithat Can’s Apple Watch
2022-03-24 11:00:05,41.49,Mithat Can’s Apple Watch
2022-03-25 00:27:32,20.83,Mithat Can’s Apple Watch
2022-03-25 21:58:48,29.41,Mithat Can’s Apple Watch
2022-03-26 01:07:17,47.01,Mithat Can’s Apple Watch
2022-03-26 20:24:08,51.42,Mithat Can’s Apple Watch
2022-03-28 15:00:31,30.43,Mithat Can’s Apple Watch
2022-03-28 21:39:07,51.18,Mithat Can’s Apple Watch
2022-03-29 00:25:43,25.58,Mithat Can’s Apple Watch
2022-03-30 07:59:19,40.41,Mithat Can’s Apple Watch
2022-03-30 11:50:18,32.54,Mithat Can’s Apple Watch
2022-03-30 18:43:42,21.34,Mithat Can’s Apple Watch
2022-03-30 20:48:10,30.9,Mithat Can’s Apple Watch
2022-03-31 18:48:31,29.35,Mithat Can’s Apple Watch
2022-03-31 22:47:01,21.68,Mithat Can’s Apple Watch
2022-03-31 23:07:35,38.18,Mithat Can’s Apple Watch
2022-04-01 09:38:31,32.72,Mithat Can’s Apple Watch
2022-04-01 11:58:33,34.01,Mithat Can’s Apple Watch
2022-04-01 15:10:51,66.23,Mithat Can’s Apple Watch
2022-04-02 15:49:34,9.49,Mithat Can’s Apple Watch
2022-04-03 14:08:09,71.87,Mithat Can’s Apple Watch
2022-04-03 15:58:18,26.36,Mithat Can’s Apple Watch
2022-04-04 08:23:19,28.38,Mithat Can’s Apple Watch
2022-04-04 08:25:32,24.2,Mithat Can’s Apple Watch
2022-04-04 11:15:04,62.88,Mithat Can’s Apple Watch
2022-04-04 15:34:15,53.86,Mithat Can’s Apple Watch
2022-04-05 14:55:52,12.82,Mithat Can’s Apple Watch
2022-04-05 15:08:49,39.47,Mithat Can’s Apple Watch
2022-04-05 21:16:24,26.5,Mithat Can’s Apple Watch
2022-04-06 07:57:18,60.19,Mithat Can’s Apple Watch
2022-04-06 09:05:34,39.14,Mithat Can’s Apple Watch
2022-04-06 12:49:56,32.82,Mithat Can’s Apple Watch
2022-04-06 17:24:51,38.65,Mithat Can’s Apple Watch
2022-04-07 10:06:58,28.24,Mithat Can’s Apple Watch
2022-04-07 13:32:47,45.67,Mithat Can’s Apple Watch
2022-04-07 16:44:13,52.79,Mithat Can’s Apple Watch
2022-04-08 11:44:30,65.01,Mithat Can’s Apple Watch
2022-04-08 18:47:10,80.26,Mithat Can’s Apple Watch
2022-04-09 11:18:14,49.72,Mithat Can’s Apple Watch
2022-04-09 14:38:05,76.3,Mithat Can’s Apple Watch
2022-04-09 21:02:42,31.69,Mithat Can’s Apple Watch
2022-04-10 00:43:04,28.95,Mithat Can’s Apple Watch
2022-04-11 10:10:45,46.94,Mithat Can’s Apple Watch
2022-04-11 14:10:45,42.11,Mithat Can’s Apple Watch
2022-04-12 14:59:51,27.73,Mithat Can’s Apple Watch
2022-04-12 18:35:58,48.07,Mithat Can’s Apple Watch
2022-04-12 22:23:42,17.12,Mithat Can’s Apple Watch
2022-04-13 08:44:15,27.2,Mithat Can’s Apple Watch
2022-04-13 09:04:21,55.09,Mithat Can’s Apple Watch
2022-04-13 13:11:13,31.88,Mithat Can’s Apple Watch
2022-04-13 17:28:17,58.4,Mithat Can’s Apple Watch
2022-04-14 10:26:12,19.36,Mithat Can’s Apple Watch
2022-04-14 13:12:23,47.59,Mithat Can’s Apple Watch
