dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1643500800,2022-01-30 00:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.51,10000,2.2,2.97,6.97,7.79,1026,,,69,9.77,310,,0.25,,,,20,500,Rain,light rain,10n
1643504400,2022-01-30 01:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.27,10000,2.37,2.91,6.61,7.74,1027,,,71,8.75,300,,,,,,20,500,Rain,light rain,10n
1643508000,2022-01-30 02:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.82,10000,1.74,2.32,5.5,7.23,1027,,,70,8.75,310,,,,,,20,801,Clouds,few clouds,02n
1643511600,2022-01-30 03:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.49,10000,1.42,1.89,5.5,7.18,1027,,,70,8.75,310,13.89,,,,,20,801,Clouds,few clouds,02n
1643515200,2022-01-30 04:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.4,10000,1.13,1.63,5.5,6.68,1027,,,69,9.26,310,,,,,,20,801,Clouds,few clouds,02n
1643518800,2022-01-30 05:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.24,10000,1.18,1.56,5.5,7.23,1028,,,70,8.75,320,13.89,0.25,,,,20,500,Rain,light rain,10n
1643522400,2022-01-30 06:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.07,10000,1.02,2.39,4.95,6.68,1028,,,70,5.66,320,,,,,,20,801,Clouds,few clouds,02n
1643526000,2022-01-30 07:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,5.85,10000,1.2,2.34,4.93,6.68,1029,,,72,5.14,300,,,,,,75,803,Clouds,broken clouds,04n
1643529600,2022-01-30 08:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.04,10000,1.19,2.35,5.5,6.68,1029,,,71,5.66,320,,,,,,20,801,Clouds,few clouds,02d
1643533200,2022-01-30 09:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.87,10000,1.58,3.61,6.05,7.74,1030,,,69,5.14,320,,,,,,40,802,Clouds,scattered clouds,03d
1643536800,2022-01-30 10:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.19,10000,1.27,3.8,6.61,7.73,1030,,,66,5.66,310,,,,,,20,801,Clouds,few clouds,02d
1643540400,2022-01-30 11:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.64,10000,0.15,4.19,6.61,8.31,1031,,,59,6.17,320,,,,,,20,801,Clouds,few clouds,02d
1643544000,2022-01-30 12:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.73,10000,1.36,4.12,7.15,8.28,1031,,,64,6.69,300,,,,,,75,803,Clouds,broken clouds,04d
1643547600,2022-01-30 13:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.93,10000,1.11,4.74,7.16,8.31,1030,,,62,5.66,290,,,,,,40,802,Clouds,scattered clouds,03d
1643551200,2022-01-30 14:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.56,10000,1.2,4.7,6.61,8.29,1029,,,64,4.63,310,,,,,,75,803,Clouds,broken clouds,04d
1643554800,2022-01-30 15:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,7.26,10000,0.69,4.85,6.61,7.76,1028,,,63,3.6,290,,,,,,75,803,Clouds,broken clouds,04d
1643558400,2022-01-30 16:00:00 +0000 UTC,3600,Amsterdam,52.367573,4.904139,6.48,10000,0.59,5.03,5.5,7.18,1027,,,66,2.06,260,,,,,,40,802,Clouds,scattered clouds,03d
